NML_ENT GBIF_Chr00002723,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Holopyga,Holopyga,naefi,,Linsenmaier 1959a,Holotype,Linsenmaier W. 1959a. Revision der Familie Chrysididae (Hymenoptera) mit besonderer Berücksichtigung der europäischen Spezies 32(1): 1-232. 
NML_ENT GBIF_Chr00002728,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Holopyga,Holopyga,enslini,,Linsenmaier 1959a,Holotype,Linsenmaier W. 1959a. Revision der Familie Chrysididae (Hymenoptera) mit besonderer Berücksichtigung der europäischen Spezies 32(1): 1-232. 
NML_ENT GBIF_Chr00003242,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Holopyga,Holopyga,amoenula,virideaurata,Linsenmaier 1951,Holotype,Linsenmaier W. 1951. Die europäischen Chrysididen (Hymenoptera). Mitteilungen der Schweizerischen Entomologischen Gesellschaft 24(1): 1-110. 
NML_ENT GBIF_Chr00003254,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Holopyga,Holopyga,ovata,proviridis,Linsenmaier 1959a,Holotype,Linsenmaier W. 1959a. Revision der Familie Chrysididae (Hymenoptera) mit besonderer Berücksichtigung der europäischen Spezies 32(1): 1-232. 
NML_ENT GBIF_Chr00003284,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Holopyga,Holopyga,ovata,effrenata,Linsenmaier 1959b,Holotype / Allotype ,"Linsenmaier W. 1959b. Revision der Familie Chrysididae (Hymenoptera). Nachtrag. Mitteilungen der Schweizerischen Entomologischen Gesellschaft, Lausanne, Band 32, Heft 2 u. 3: 233-240."
NML_ENT GBIF_Chr00003286,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Holopyga,Holopyga,pseudovata,,Linsenmaier 1987,Holotype,"Linsenmaier W. 1987. der Familie Chrysididae. (Hymenoptera). 4. Teil. Mitteilungen der Schweizerischen Entomologischen Gesellschaft, 60: 133-158."
NML_ENT GBIF_Chr00003372,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Holopyga,Holopyga,amoenula,oriensa,Linsenmaier 1959a,Holotype,Linsenmaier W. 1959a. Revision der Familie Chrysididae (Hymenoptera) mit besonderer Berücksichtigung der europäischen Spezies 32(1): 1-232. 
NML_ENT GBIF_Chr00003410,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Holopyga,Holopyga,amoenula,occidenta,Linsenmaier 1959a,Holotype,Linsenmaier W. 1959a. Revision der Familie Chrysididae (Hymenoptera) mit besonderer Berücksichtigung der europäischen Spezies 32(1): 1-232. 
NML_ENT GBIF_Chr00003619,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Holopyga,Holopyga,punctatissima,reducta,Linsenmaier 1959a,Holotype / Paratype,Linsenmaier W. 1959a. Revision der Familie Chrysididae (Hymenoptera) mit besonderer Berücksichtigung der europäischen Spezies 32(1): 1-232. 
NML_ENT GBIF_Chr00003706,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Holopyga,Holopyga,vigora,,Linsenmaier 1959a,Holotype / Paratype,Linsenmaier W. 1959a. Revision der Familie Chrysididae (Hymenoptera) mit besonderer Berücksichtigung der europäischen Spezies 32(1): 1-232. 
NML_ENT GBIF_Chr00003794,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Holopyga,Holopyga,minuma,,Linsenmaier 1959a,Holotype,Linsenmaier W. 1959a. Revision der Familie Chrysididae (Hymenoptera) mit besonderer Berücksichtigung der europäischen Spezies 32(1): 1-232. 
NML_ENT GBIF_Chr00004096,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Holopyga,Holopyga,chrysonota,appliata,Linsenmaier 1959a,Holotype,Linsenmaier W. 1959a. Revision der Familie Chrysididae (Hymenoptera) mit besonderer Berücksichtigung der europäischen Spezies 32(1): 1-232. 
NML_ENT GBIF_Chr00004187,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Holopyga,Holopyga,guadarrama,,Linsenmaier 1987,Holotype / Allotype,"Linsenmaier W. 1987. der Familie Chrysididae. (Hymenoptera). 4. Teil. Mitteilungen der Schweizerischen Entomologischen Gesellschaft, 60: 133-158."
NML_ENT GBIF_Chr00004196,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Holopyga,Holopyga,austrialis,,Linsenmaier 1959a,Holotype / Paratypes,Linsenmaier W. 1959a. Revision der Familie Chrysididae (Hymenoptera) mit besonderer Berücksichtigung der europäischen Spezies 32(1): 1-232. 
NML_ENT GBIF_Chr00004581,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Holopyga,Holopyga,ignicollis,padri,Linsenmaier 1987,Holotype,"Linsenmaier W. 1987. der Familie Chrysididae. (Hymenoptera). 4. Teil. Mitteilungen der Schweizerischen Entomologischen Gesellschaft, 60: 133-158."
NML_ENT GBIF_Chr00004591,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Holopyga,Holopyga,ignicollis,granadana,Linsenmaier 1968,Holotype,"Linsenmaier W. 1968. Revision der Familie Chrysididae (Hymenoptera). Zweiter Nachtrag. Mitteilungen der Schweizerischen Entomologischen Gesellschaft, Lausanne, Band 41, Heft 1,2,3 u 4: 1-144."
NML_ENT GBIF_Chr00004682,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Holopyga,Holopyga,duplicata,,Linsenmaier 1997,Holotype,"Linsenmaier W. 1997. und Neues von den Chrysididen. (Hymenoptera, Chrysididae). Entomofauna, Band 18, Heft 19: 245-300."
NML_ENT GBIF_Chr00004925,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Holopyga,Holopyga,bifigurata,,Linsenmaier 1968,Holotype,"Linsenmaier W. 1968. Revision der Familie Chrysididae (Hymenoptera). Zweiter Nachtrag. Mitteilungen der Schweizerischen Entomologischen Gesellschaft, Lausanne, Band 41, Heft 1,2,3 u 4: 1-144."
NML_ENT GBIF_Chr00004950,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Holopyga,Holopyga,cypruscula,,Linsenmaier 1959a,Holotype,Linsenmaier W. 1959a. Revision der Familie Chrysididae (Hymenoptera) mit besonderer Berücksichtigung der europäischen Spezies 32(1): 1-232. 
NML_ENT GBIF_Chr00005010,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Holopyga,Holopyga,cypruscula,detrita,Linsenmaier 1959b,Holotype,Linsenmaier W. 1959a. Revision der Familie Chrysididae (Hymenoptera) mit besonderer Berücksichtigung der europäischen Spezies 32(1): 1-232. 
NML_ENT GBIF_Chr00005017,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Holopyga,Holopyga,cypruscula,turca,Linsenmaier 1987,Holotype,"Linsenmaier W. 1987. der Familie Chrysididae. (Hymenoptera). 4. Teil. Mitteilungen der Schweizerischen Entomologischen Gesellschaft, 60: 133-158."
NML_ENT GBIF_Chr00005020,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Holopyga,Holopyga,trapeziphora,,Linsenmaier 1987,Holotype,"Linsenmaier W. 1987. der Familie Chrysididae. (Hymenoptera). 4. Teil. Mitteilungen der Schweizerischen Entomologischen Gesellschaft, 60: 133-158."
NML_ENT GBIF_Chr00005170,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Holopyga,Holopyga,caireana,,Linsenmaier 1999,Holotype,"Linsenmaier W. 1999. Die Goldwespen Nordafrikas (Hymenoptera, Chrysididae). Entomofauna, Supplement 10: 281 pp."
NML_ENT GBIF_Chr00005233,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Holopyga,Holopyga,mlokosiewitzi,hemisimpla,Linsenmaier 1959a,Holotype ???,Linsenmaier W. 1959a. Revision der Familie Chrysididae (Hymenoptera) mit besonderer Berücksichtigung der europäischen Spezies 32(1): 1-232. 
NML_ENT GBIF_Chr00005208,Hymenoptera,Chrysididae,Chrysidinae,Elampini,Holopyga,Holopyga,mlokosiewitzi,spartana,Linsenmaier 1968,Holotype / Paratypes,"Linsenmaier W. 1968. Revision der Familie Chrysididae (Hymenoptera). Zweiter Nachtrag. Mitteilungen der Schweizerischen Entomologischen Gesellschaft, Lausanne, Band 41, Heft 1,2,3 u 4: 1-144."
